name,id,smiles,atc,atc_name_1,atc_name_2,atc_name_3,atc_name_4,smiles,molecular_weight,logP,hydrogen_bond_acceptors,hydrogen_bond_donors,Lipinski,QED,stereo_centers,tpsa,AMES,BBB_Martins,Bioavailability_Ma,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Substrate_CarbonMangels,CYP2C9_Veith,CYP2D6_Substrate_CarbonMangels,CYP2D6_Veith,CYP3A4_Substrate_CarbonMangels,CYP3A4_Veith,Carcinogens_Lagunin,ClinTox,DILI,HIA_Hou,NR-AR-LBD,NR-AR,NR-AhR,NR-Aromatase,NR-ER-LBD,NR-ER,NR-PPAR-gamma,PAMPA_NCATS,Pgp_Broccatelli,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,Skin_Reaction,hERG,Caco2_Wang,Clearance_Hepatocyte_AZ,Clearance_Microsome_AZ,Half_Life_Obach,HydrationFreeEnergy_FreeSolv,LD50_Zhu,Lipophilicity_AstraZeneca,PPBR_AZ,Solubility_AqSolDB,VDss_Lombardo,molecular_weight_drugbank_approved_percentile,logP_drugbank_approved_percentile,hydrogen_bond_acceptors_drugbank_approved_percentile,hydrogen_bond_donors_drugbank_approved_percentile,Lipinski_drugbank_approved_percentile,QED_drugbank_approved_percentile,stereo_centers_drugbank_approved_percentile,tpsa_drugbank_approved_percentile,AMES_drugbank_approved_percentile,BBB_Martins_drugbank_approved_percentile,Bioavailability_Ma_drugbank_approved_percentile,CYP1A2_Veith_drugbank_approved_percentile,CYP2C19_Veith_drugbank_approved_percentile,CYP2C9_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2C9_Veith_drugbank_approved_percentile,CYP2D6_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2D6_Veith_drugbank_approved_percentile,CYP3A4_Substrate_CarbonMangels_drugbank_approved_percentile,CYP3A4_Veith_drugbank_approved_percentile,Carcinogens_Lagunin_drugbank_approved_percentile,ClinTox_drugbank_approved_percentile,DILI_drugbank_approved_percentile,HIA_Hou_drugbank_approved_percentile,NR-AR-LBD_drugbank_approved_percentile,NR-AR_drugbank_approved_percentile,NR-AhR_drugbank_approved_percentile,NR-Aromatase_drugbank_approved_percentile,NR-ER-LBD_drugbank_approved_percentile,NR-ER_drugbank_approved_percentile,NR-PPAR-gamma_drugbank_approved_percentile,PAMPA_NCATS_drugbank_approved_percentile,Pgp_Broccatelli_drugbank_approved_percentile,SR-ARE_drugbank_approved_percentile,SR-ATAD5_drugbank_approved_percentile,SR-HSE_drugbank_approved_percentile,SR-MMP_drugbank_approved_percentile,SR-p53_drugbank_approved_percentile,Skin_Reaction_drugbank_approved_percentile,hERG_drugbank_approved_percentile,Caco2_Wang_drugbank_approved_percentile,Clearance_Hepatocyte_AZ_drugbank_approved_percentile,Clearance_Microsome_AZ_drugbank_approved_percentile,Half_Life_Obach_drugbank_approved_percentile,HydrationFreeEnergy_FreeSolv_drugbank_approved_percentile,LD50_Zhu_drugbank_approved_percentile,Lipophilicity_AstraZeneca_drugbank_approved_percentile,PPBR_AZ_drugbank_approved_percentile,Solubility_AqSolDB_drugbank_approved_percentile,VDss_Lombardo_drugbank_approved_percentile
"1,2-Benzodiazepine",DB12537,C1=Cc2ccccc2NN=C1,,,,,,C1=Cc2ccccc2NN=C1,144.177,2.1111,2,1,4,0.592133483,0,24.39,0.754973269,0.988277364,0.905696893,0.982506371,0.389302748,0.110123102,0.078566737,0.280555949,0.315833591,0.239859644,0.477295077,0.189592785,0.022849192,0.801499617,0.999998069,0.009449577,0.024737087,0.939071918,0.205295271,0.009300654,0.082251697,0.008971072,0.939728069,0.056141315,0.463317496,0.024995307,0.123734187,0.446374309,0.06393865,0.939544523,0.398235962,-4.529648355,34.48615522,27.77165883,-24.15457836,-6.887109121,2.384354326,1.773755311,65.05862093,-2.521457609,-5.783741598,8.452888717,47.34393176,16.38231873,36.68088406,63.80379992,59.44164405,22.48933695,12.17526173,93.79604498,90.50019387,75.1454052,98.72043428,77.89841024,38.96859248,61.61302831,73.16789453,79.17797596,27.49127569,79.17797596,56.96006204,21.20977123,71.77200465,99.3796045,46.25823963,51.45405196,99.34082978,85.88600233,34.27685149,46.4133385,59.51919349,76.61884451,44.43582784,81.81465684,71.19038387,87.16556805,83.59829391,68.74757658,96.35517642,58.35595192,78.4412563,48.4683986,60.02326483,5.816207832,76.19232261,40.8685537,55.83559519,37.30127957,60.33346258,6.475378054
"1,2-Distearoyllecithin",DB14099,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,,,,,,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,790.161,12.1722,8,0,2,0.026005394,2,111.19,0.015712811,0.411877102,0.20285281,0.007235368,0.038652575,0.028175126,0.004510311,0.15529387,0.064046205,0.703998303,0.247186195,0.132563766,0.000544834,0.042196056,0.306160438,0.015788289,0.029377471,0.001533807,0.050547189,0.050595365,0.215803221,0.003133298,0.875195527,0.98308152,0.143682439,0.000417634,0.005366883,0.022911893,0.002861887,0.824377775,0.859719872,-5.021186917,140.6343584,145.6592377,41.73977622,-5.580808104,2.35731995,3.622355243,91.86806638,-4.864515913,7.828266301,94.06746801,99.76735169,82.35750291,11.76812718,9.848778596,1.899961225,68.86390074,73.67196588,6.24272974,25.16479256,4.071345483,30.05040713,34.04420318,10.2753005,21.67506786,59.7518418,54.71112834,73.516867,68.98022489,45.71539356,2.404032571,10.77937185,13.10585498,60.25591314,58.27840248,12.91198139,61.07018224,77.16169058,81.65955797,42.45831718,62.69872043,99.1857309,52.84994184,15.16091508,31.87281892,43.77665762,22.10158976,86.2349748,82.59015122,47.80922838,98.44901124,99.88367584,83.3656456,85.61457929,39.31756495,91.27568825,77.0065917,16.24660721,86.62272199
"1,2-icosapentoyl-sn-glycero-3-phosphoserine",DB14096,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)OC(COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)(O)OCC(N)C(=O)O,,,,,,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)OC(COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)(O)OCC(N)C(=O)O,842.064,11.2204,9,3,2,0.023517083,3,171.68,0.574119973,0.617496854,0.397513294,0.005368811,0.283590102,0.008221151,0.277053226,0.017929498,0.092208458,0.674802428,0.72175007,0.177527253,0.04553896,0.144539708,0.613594924,0.12660299,0.067284814,0.0072942,0.252065727,0.209199499,0.271416652,0.15832034,0.641995406,0.685512555,0.884054708,0.029361484,0.11292333,0.027894272,0.024599053,0.808037245,0.439714563,-6.023448801,76.85439071,65.63164178,14.88437221,-6.992113316,1.813856573,2.351277572,105.9866378,-5.058148589,-2.585610869,95.03683598,99.68980225,86.25436216,77.25862737,9.848778596,1.550988755,75.43621559,87.82473827,86.77782086,39.35633967,13.84257464,26.44435828,71.30670803,2.714230322,81.42690965,12.87320667,60.83753393,69.83326871,88.25126018,54.40093059,33.96665374,26.71578131,19.42613416,91.97363319,80.45754168,30.90345095,88.75533152,93.87359442,86.70027142,94.06746801,41.91547111,83.05544785,98.13881349,73.36176813,86.2349748,46.14191547,52.30709577,84.64521132,60.79875921,11.43854207,81.03916247,85.38193098,61.10895696,75.06785576,13.22217914,67.3516867,97.59596743,13.60992633,18.34044203
1-Palmitoyl-2-oleoyl-sn-glycero-3-(phospho-rac-(1-glycerol)),DB11331;DB14095,CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,,,,,,CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,749.02,10.447,9,3,2,0.023990688,3,148.82,0.031661002,0.600796634,0.231856121,0.030101406,0.183463401,0.02288761,0.170674562,0.043218912,0.136866109,0.614016396,0.42266472,0.06677452,0.017324211,0.154740156,0.980862558,0.052444573,0.055594596,0.008874414,0.111586466,0.026374549,0.107932834,0.01476835,0.75494765,0.987868512,0.221729109,0.001135918,0.031025827,0.062043719,0.017499826,0.598301959,0.742202687,-5.315913781,105.1419743,145.5950887,57.63440453,-7.105083367,1.581676525,4.497808668,115.2481623,-6.474748122,7.943757623,93.05932532,99.49592865,86.25436216,77.25862737,9.848778596,1.589763474,75.43621559,84.66459868,12.98953083,37.84412563,5.389685925,46.06436603,61.22528112,8.142690965,73.74951532,30.55447848,67.66188445,62.27219853,77.16169058,26.56068244,17.17720047,28.26677007,36.52578519,85.07173323,75.99844901,34.04420318,74.99030632,61.30283055,59.05389686,67.15781311,50.21326095,99.57347809,63.78441256,25.12601784,66.22721985,56.53354013,46.64598682,66.38231873,74.48623497,30.90345095,91.74098488,99.84490112,89.33695231,74.17603722,7.871267933,98.25513765,99.96122528,2.675455603,86.97169446
"2,2'-Dibenzothiazyl disulfide",DB14201,c1ccc2sc(SSc3nc4ccccc4s3)nc2c1,,,,,,c1ccc2sc(SSc3nc4ccccc4s3)nc2c1,332.5,5.7054,6,0,3,0.44906442,0,25.78,0.428819263,0.918051279,0.764990997,0.987387109,0.950689423,0.232299533,0.700701118,0.030512991,0.105984298,0.296169141,0.61689316,0.077868526,0.01170708,0.97473501,0.999977779,0.042738114,0.027081014,0.805342078,0.239311904,0.051448559,0.329783395,0.416333008,0.931179833,0.491901422,0.843274891,0.195673783,0.868112779,0.754885364,0.221725443,0.88316493,0.30615827,-4.795252716,84.01274626,40.35675555,-0.012168288,-5.157119555,1.731300377,3.862955011,103.2920578,-5.4872798,-8.388117978,49.82551377,92.74912757,69.5036836,11.76812718,20.91896084,40.13183404,22.48933695,12.54362156,78.16983327,70.25979062,44.9786739,99.14695618,98.10003877,68.32105467,94.68786351,22.7995347,62.97014347,31.98914308,84.1799147,30.16673129,12.98953083,96.04497867,93.8348197,82.62892594,54.67235363,98.13881349,87.94106243,77.51066305,89.99612253,98.44901124,73.98216363,75.33927879,97.05312136,93.8348197,99.68980225,93.95114385,87.01046917,91.97363319,51.18262893,61.88445134,84.56766188,70.99651028,37.10740597,88.2900349,11.24466848,94.14501745,94.95928655,8.918185343,2.481582009
2-mercaptobenzothiazole,DB11496,S=c1[nH]c2ccccc2s1,,,,,,S=c1[nH]c2ccccc2s1,167.258,2.95889,2,1,4,0.596342703,0,15.79,0.077790504,0.873623729,0.794346654,0.876692379,0.458305258,0.275251976,0.206043997,0.128826126,0.032174576,0.338163769,0.158389874,0.082829959,0.028557023,0.938894355,0.999967694,0.033531327,0.06964547,0.774236333,0.022501725,0.011184,0.107523805,0.079318811,0.803606784,0.073542909,0.402469012,0.07910611,0.409934413,0.399691719,0.0858564,0.760361445,0.044326637,-4.64779792,51.1603808,29.42340044,12.98837855,-8.352971129,2.625560583,2.503863951,82.19256196,-2.836298096,5.665448516,12.40791004,61.1865064,16.38231873,36.68088406,63.80379992,59.86816596,22.48933695,7.948817371,27.9177976,64.01706088,50.01938736,94.30011632,82.08607988,74.64133385,76.46374564,55.40907328,43.38891043,35.55641722,62.65994572,32.18301667,25.20356727,87.01046917,92.05118263,78.24738271,81.15548662,97.63474215,48.50717332,38.50329585,58.89879798,89.10430399,54.98255138,47.49903063,78.16983327,85.73090345,96.23885227,81.85343156,73.74951532,80.4963164,20.16285382,70.8414114,63.20279178,61.41915471,58.54982551,62.89259403,56.37844126,70.37611477,59.20899573,53.89685925,78.59635518
4-(Isopropylamino)diphenylamine,DB14195,CC(C)Nc1ccc(Nc2ccccc2)cc1,,,,,,CC(C)Nc1ccc(Nc2ccccc2)cc1,226.323,4.2505,2,2,4,0.813970172,0,24.06,0.232930955,0.913718092,0.871002591,0.96073432,0.852090764,0.227359095,0.394627023,0.438029069,0.456926623,0.502734762,0.338175857,0.422865838,0.02285141,0.654533935,0.999939203,0.004238241,0.014525376,0.627829015,0.202006325,0.057141791,0.30784055,0.031244202,0.942155552,0.05670986,0.489564651,0.053782768,0.229834533,0.8986287,0.209185964,0.837189734,0.702813518,-4.268079854,99.34534826,34.2587261,84.99207699,-6.341118556,2.071440934,3.069918963,91.751535,-4.43968597,20.27583335,21.86894145,81.15548662,16.38231873,60.85692129,63.80379992,90.88794106,22.48933695,12.02016285,57.34780923,69.56184568,65.25785188,97.51841799,95.6960062,67.15781311,86.70027142,82.82279953,84.64521132,51.5316014,73.86583947,83.94726638,21.20977123,62.4272974,88.01861187,28.61574254,35.12989531,95.38580845,85.49825514,79.29430012,88.98797984,77.78208608,77.31678945,44.51337728,83.21054672,81.00038775,93.05932532,97.71229159,85.96355176,87.70841411,72.46994959,92.55525397,90.11244668,65.56804963,94.26134161,80.72896472,23.07095774,82.35750291,76.77394339,23.38115549,97.9449399
5-O-phosphono-alpha-D-ribofuranosyl diphosphate,DB01632,O=P(O)(O)OC[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)O)[C@H](O)[C@@H]1O,,,,,,O=P(O)(O)OC[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)O)[C@H](O)[C@@H]1O,390.067,-2.2313,9,7,3,0.228153726,5,229.74,0.002034822,0.674336869,0.115895329,0.004348651,0.143834698,0.043928954,0.003767629,0.019070974,0.208095104,0.087754642,2.59E-05,0.003246224,0.047627597,0.078824256,0.006641288,0.001869529,0.007790372,0.000579317,0.000594684,0.045885782,0.179232995,1.06E-05,0.060907839,0.002111555,0.035027734,0.000127599,8.05E-05,0.004539252,0.006174078,0.05421511,0.116743757,-6.530851527,13.30953302,17.08347338,65.75083238,-16.71140171,1.469613128,1.131505453,48.16997174,0.268688664,-1.968087821,63.0476929,10.08142691,86.25436216,94.37766576,20.91896084,14.42419542,83.96665374,93.95114385,1.202016285,44.39705312,1.706087631,24.07910043,55.99069407,16.16905777,19.62000775,13.45482745,74.05971307,8.026366809,6.359053897,1.085692129,35.01357115,17.13842575,2.132609539,16.05273362,20.20162854,6.24272974,11.55486623,74.91275688,76.77394339,3.761147732,10.00387747,8.065141528,24.11787515,7.63861962,1.783637069,25.31989143,30.90345095,1.163241566,32.22179139,5.467235363,25.8627375,49.20511826,91.15936409,5.312136487,6.126405584,44.43582784,20.86079876,94.61031408,21.63629314
Abacavir,DB01048,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,J05AF;J05AR,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,"Antivirals for treatment of HIV infections, combinations;Nucleoside and nucleotide reverse transcriptase inhibitors",Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,286.339,1.0923,7,3,4,0.727230282,2,101.88,0.646094757,0.827959919,0.900313497,0.452779379,0.051874373,0.091860519,0.045424927,0.09001651,0.021314056,0.279830676,0.205709273,0.09466138,0.091376907,0.876457047,0.99997499,0.020609877,0.024951955,0.704889685,0.242467351,0.013067644,0.162415409,0.007559814,0.682142067,0.014458698,0.414448068,0.190478207,0.04016627,0.29866347,0.18705852,0.46695261,0.42178368,-5.552575896,-0.100328468,-16.20686301,1.013904476,-14.30085561,2.382634819,1.789446313,62.01607086,-2.375598718,0.004148122,36.48701047,33.69523071,77.35556417,77.25862737,63.80379992,78.51880574,68.86390074,68.67002714,90.11244668,58.66614967,73.40054285,81.81465684,38.85226832,33.34625824,52.50096937,46.06436603,36.33191159,30.98100039,66.34354401,35.75029081,48.89492051,78.51880574,93.2144242,67.54556029,51.68670027,96.5102753,88.13493602,42.34199302,73.47809228,56.76618845,44.82357503,27.95657231,78.82900349,93.56339667,71.15160915,77.89841024,84.49011245,54.67235363,59.7518418,21.67506786,14.92826677,11.94261342,38.89104304,12.40791004,40.67468011,56.06824351,33.34625824,62.58239628,36.71965878
Abametapir,DB11932,Cc1ccc(-c2ccc(C)cn2)nc1,P03AX,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS","ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS","ECTOPARASITICIDES, INCL. SCABICIDES","Other ectoparasiticides, incl. scabicides",Cc1ccc(-c2ccc(C)cn2)nc1,184.242,2.76044,2,0,4,0.680654393,0,25.78,0.406153953,0.954883575,0.981048214,0.83912828,0.261851174,0.338120341,0.060841106,0.218908617,0.003274139,0.429194939,0.036083998,0.178814864,0.016281615,0.764064026,0.999944365,0.003896832,0.051649339,0.078254564,0.014970944,0.018555144,0.088519005,0.002079331,0.986640334,0.025897075,0.024025037,0.022122497,0.021788521,0.005502668,0.006505988,0.570742407,0.046626406,-4.245461341,59.31408762,54.6729282,-13.6106441,-5.792783005,2.386414583,2.284438347,63.68736092,-2.079895162,-2.549306619,15.31601396,58.43350136,16.38231873,11.76812718,63.80379992,71.73322993,22.48933695,12.54362156,76.73516867,77.27801473,98.25513765,93.29197363,69.71694455,82.31872819,56.8825126,68.04963164,13.92012408,44.66847615,43.19503684,54.90500194,16.51803024,68.90267546,88.52268321,27.33617681,74.1372625,68.01085692,42.9236138,51.26017836,49.94183792,35.67274137,95.54090733,34.50949981,18.96083753,69.48429624,58.9375727,27.49127569,31.75649477,64.01706088,20.9383482,93.48584723,69.94959287,80.18611865,14.30787127,84.02481582,41.0624273,66.03334626,35.55641722,67.89453276,18.45676619
