molecule_chembl_id,molecule_name,canonical_smiles,target_chembl_id,target_name,action_type,mechanism_of_action,max_phase
CHEMBL19,METHAZOLAMIDE,CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,CHEMBL2326,Carbonic anhydrase 7,INHIBITOR,Carbonic anhydrase VII inhibitor,4
CHEMBL1201117,METHOCARBAMOL,COc1ccccc1OCC(O)COC(N)=O,CHEMBL261,Carbonic anhydrase 1,INHIBITOR,Carbonic anhydrase I inhibitor,4
CHEMBL1200814,ACETAZOLAMIDE SODIUM,CC(=O)Nc1nnc(S([NH-])(=O)=O)s1.[Na+],CHEMBL261,Carbonic anhydrase 1,INHIBITOR,Carbonic anhydrase I inhibitor,4
CHEMBL17,DICHLORPHENAMIDE,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,CHEMBL261,Carbonic anhydrase 1,INHIBITOR,Carbonic anhydrase I inhibitor,4
CHEMBL20,ACETAZOLAMIDE,CC(=O)Nc1nnc(S(N)(=O)=O)s1,CHEMBL261,Carbonic anhydrase 1,INHIBITOR,Carbonic anhydrase I inhibitor,4
CHEMBL19,METHAZOLAMIDE,CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,CHEMBL261,Carbonic anhydrase 1,INHIBITOR,Carbonic anhydrase I inhibitor,4
CHEMBL1450,ATOVAQUONE,O=C1C(O)=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,CHEMBL1777,Cytochrome b,INHIBITOR,Cytochrome b inhibitor,4
CHEMBL1722209,TOLTERODINE TARTRATE,Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1.O=C(O)C(O)C(O)C(=O)O,CHEMBL245,Muscarinic acetylcholine receptor M3,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,4
CHEMBL1240,PROPANTHELINE BROMIDE,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C.[Br-],CHEMBL245,Muscarinic acetylcholine receptor M3,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,4
CHEMBL1200479,DICYCLOMINE HYDROCHLORIDE,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1.Cl,CHEMBL245,Muscarinic acetylcholine receptor M3,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,4
CHEMBL1768,BETHANECHOL CHLORIDE,CC(C[N+](C)(C)C)OC(N)=O.[Cl-],CHEMBL245,Muscarinic acetylcholine receptor M3,AGONIST,Muscarinic acetylcholine receptor M3 agonist,4
CHEMBL2146146,ATROPINE SULFATE,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2.O=S(=O)(O)O,CHEMBL245,Muscarinic acetylcholine receptor M3,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,4
CHEMBL517712,ATROPINE,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,CHEMBL245,Muscarinic acetylcholine receptor M3,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,4
CHEMBL1200604,TROPICAMIDE,CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1,CHEMBL245,Muscarinic acetylcholine receptor M3,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,4
CHEMBL1200803,SOLIFENACIN SUCCINATE,O=C(O)CCC(=O)O.O=C(O[C@H]1CN2CCC1CC2)N1CCc2ccccc2[C@@H]1c1ccccc1,CHEMBL245,Muscarinic acetylcholine receptor M3,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,4
